NC,NN,MC,MN,qtd_domicilios,cod_uf,uf,D2C,ano,D3C,variavel,cod_categoria,categoria
3,Unidade da Federação,1020,Unidades,555099,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72129,Total
3,Unidade da Federação,1020,Unidades,256189,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72144,Possui ligação à rede geral e a utiliza como forma principal
3,Unidade da Federação,1020,Unidades,43343,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72145,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
3,Unidade da Federação,1020,Unidades,20111,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72146,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano"
3,Unidade da Federação,1020,Unidades,22297,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72147,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
3,Unidade da Federação,1020,Unidades,693,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72148,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina"
3,Unidade da Federação,1020,Unidades,8,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72149,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa"
3,Unidade da Federação,1020,Unidades,18,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72150,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada"
3,Unidade da Federação,1020,Unidades,107,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72151,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés"
3,Unidade da Federação,1020,Unidades,109,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72152,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra"
3,Unidade da Federação,1020,Unidades,255567,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72153,Não possui ligação com a rede geral
3,Unidade da Federação,1020,Unidades,95322,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72154,Não possui ligação com a rede geral - Poço profundo ou artesiano
3,Unidade da Federação,1020,Unidades,140071,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72155,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
3,Unidade da Federação,1020,Unidades,16856,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72156,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
3,Unidade da Federação,1020,Unidades,77,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72157,Não possui ligação com a rede geral - Carro-pipa
3,Unidade da Federação,1020,Unidades,57,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72158,Não possui ligação com a rede geral - Água da chuva armazenada
3,Unidade da Federação,1020,Unidades,1544,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72159,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés"
3,Unidade da Federação,1020,Unidades,1640,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,72160,Não possui ligação com a rede geral - Outra
3,Unidade da Federação,1020,Unidades,261001,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72129,Total
3,Unidade da Federação,1020,Unidades,137184,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72144,Possui ligação à rede geral e a utiliza como forma principal
3,Unidade da Federação,1020,Unidades,18891,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72145,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
3,Unidade da Federação,1020,Unidades,9566,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72146,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano"
3,Unidade da Federação,1020,Unidades,8296,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72147,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
3,Unidade da Federação,1020,Unidades,465,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72148,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina"
3,Unidade da Federação,1020,Unidades,242,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72149,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa"
3,Unidade da Federação,1020,Unidades,16,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72150,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada"
3,Unidade da Federação,1020,Unidades,199,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72151,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés"
3,Unidade da Federação,1020,Unidades,107,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72152,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra"
3,Unidade da Federação,1020,Unidades,104926,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72153,Não possui ligação com a rede geral
3,Unidade da Federação,1020,Unidades,31519,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72154,Não possui ligação com a rede geral - Poço profundo ou artesiano
3,Unidade da Federação,1020,Unidades,41466,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72155,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
3,Unidade da Federação,1020,Unidades,15336,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72156,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
3,Unidade da Federação,1020,Unidades,913,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72157,Não possui ligação com a rede geral - Carro-pipa
3,Unidade da Federação,1020,Unidades,399,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,72158,Não possui ligação com a rede geral - Água da chuva armazenada
