NC,NN,MC,MN,valor,cod_uf,uf,D2C,ano,D3C,variavel
3,Unidade da Federação,1708,Domicílios,555099.0,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1572676.0,11,Rondônia,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.83,11,Rondônia,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,261001.0,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,824448.0,12,Acre,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3.16,12,Acre,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,1079880.0,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3929369.0,13,Amazonas,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3.64,13,Amazonas,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,177418.0,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,622859.0,14,Roraima,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3.51,14,Roraima,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,2444319.0,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,8088090.0,15,Pará,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3.31,15,Pará,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,201021.0,16,Amapá,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,729353.0,16,Amapá,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3.63,16,Amapá,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,513796.0,17,Tocantins,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1506137.0,17,Tocantins,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.93,17,Tocantins,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
