NC,NN,MC,MN,qtd_domicilios,cod_uf,uf,D2C,ano,D3C,variavel,cod_categoria,categoria
3,Unidade da Federação,1020,Unidades,555099.0,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,502777.0,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,13360.0,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,38220.0,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,615.0,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,28.0,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,71976,Habitação indígena sem paredes ou maloca
3,Unidade da Federação,1020,Unidades,99.0,11,Rondônia,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,261001.0,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,238769.0,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,3693.0,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,15802.0,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,2113.0,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,536.0,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,71976,Habitação indígena sem paredes ou maloca
3,Unidade da Federação,1020,Unidades,88.0,12,Acre,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,1079880.0,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,921493.0,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,32516.0,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,116295.0,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,6976.0,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,2161.0,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,71976,Habitação indígena sem paredes ou maloca
3,Unidade da Federação,1020,Unidades,439.0,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,177418.0,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,146871.0,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,11766.0,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,15759.0,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,595.0,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
