uf,ano,mes,segmento,consumo_mwh
RO,2021,1,residencial,106564.524
AC,2021,1,residencial,47709.865
AM,2021,1,residencial,165005.0
RR,2021,1,residencial,41040.331
PA,2021,1,residencial,333372.982
AP,2021,1,residencial,47514.761
TO,2021,1,residencial,88112.462
MA,2021,1,residencial,302886.491
PI,2021,1,residencial,169186.364
CE,2021,1,residencial,448491.0
RN,2021,1,residencial,213317.0
PB,2021,1,residencial,197316.465
PE,2021,1,residencial,488889.0
AL,2021,1,residencial,135267.034
SE,2021,1,residencial,112150.741
BA,2021,1,residencial,695741.345
MG,2021,1,residencial,1108300.359
ES,2021,1,residencial,262562.29
RJ,2021,1,residencial,1260203.221
SP,2021,1,residencial,3925311.189
PR,2021,1,residencial,751296.502
SC,2021,1,residencial,631959.176
RS,2021,1,residencial,890178.524
MS,2021,1,residencial,214339.955
MT,2021,1,residencial,271867.89
GO,2021,1,residencial,485208.353
DF,2021,1,residencial,212214.0
RO,2021,2,residencial,104261.508
AC,2021,2,residencial,44954.883
AM,2021,2,residencial,148929.0
RR,2021,2,residencial,41032.737
PA,2021,2,residencial,322099.928
AP,2021,2,residencial,51877.034
TO,2021,2,residencial,85110.756
MA,2021,2,residencial,288998.48
PI,2021,2,residencial,151422.885
CE,2021,2,residencial,421787.0
RN,2021,2,residencial,210138.0
PB,2021,2,residencial,196265.786
PE,2021,2,residencial,460335.0
AL,2021,2,residencial,136647.731
SE,2021,2,residencial,110493.287
BA,2021,2,residencial,647405.35
MG,2021,2,residencial,1025566.573
ES,2021,2,residencial,244885.431
RJ,2021,2,residencial,1299315.809
SP,2021,2,residencial,3622261.904
PR,2021,2,residencial,692801.206
SC,2021,2,residencial,600565.797
RS,2021,2,residencial,826217.539
MS,2021,2,residencial,188856.289
MT,2021,2,residencial,264134.773
GO,2021,2,residencial,449252.596
DF,2021,2,residencial,196842.0
RO,2021,3,residencial,113114.333
AC,2021,3,residencial,45393.742
AM,2021,3,residencial,154891.0
RR,2021,3,residencial,41959.191
PA,2021,3,residencial,322263.63
AP,2021,3,residencial,47792.541
TO,2021,3,residencial,86134.617
MA,2021,3,residencial,286653.567
PI,2021,3,residencial,152822.812
CE,2021,3,residencial,408862.0
RN,2021,3,residencial,217620.0
PB,2021,3,residencial,206157.074
PE,2021,3,residencial,492996.0
AL,2021,3,residencial,146705.995
SE,2021,3,residencial,118736.239
BA,2021,3,residencial,701022.103
MG,2021,3,residencial,1031723.411
ES,2021,3,residencial,256427.371
RJ,2021,3,residencial,1304032.87
SP,2021,3,residencial,3726261.225
PR,2021,3,residencial,726385.404
SC,2021,3,residencial,625329.48
RS,2021,3,residencial,853404.326
MS,2021,3,residencial,209586.844
MT,2021,3,residencial,287333.866
GO,2021,3,residencial,455118.582
DF,2021,3,residencial,198815.0
RO,2021,4,residencial,120227.118
AC,2021,4,residencial,43717.956
AM,2021,4,residencial,170668.0
RR,2021,4,residencial,47037.186
PA,2021,4,residencial,336915.603
AP,2021,4,residencial,50700.654
TO,2021,4,residencial,94319.867
MA,2021,4,residencial,296033.777
PI,2021,4,residencial,158397.096
CE,2021,4,residencial,442110.0
RN,2021,4,residencial,218050.0
PB,2021,4,residencial,206529.735
PE,2021,4,residencial,491797.0
AL,2021,4,residencial,140812.803
SE,2021,4,residencial,122953.693
BA,2021,4,residencial,702072.672
MG,2021,4,residencial,1105891.44
ES,2021,4,residencial,255860.419
RJ,2021,4,residencial,1239358.755
SP,2021,4,residencial,3750048.234
PR,2021,4,residencial,739014.438
SC,2021,4,residencial,596957.589
RS,2021,4,residencial,786919.638
MS,2021,4,residencial,218693.249
MT,2021,4,residencial,287475.178
GO,2021,4,residencial,482279.073
DF,2021,4,residencial,215043.0
RO,2021,5,residencial,120710.742
AC,2021,5,residencial,40155.129
AM,2021,5,residencial,170229.0
RR,2021,5,residencial,41502.411
PA,2021,5,residencial,343982.289
AP,2021,5,residencial,47696.757
TO,2021,5,residencial,93141.452
MA,2021,5,residencial,289497.097
PI,2021,5,residencial,159283.845
CE,2021,5,residencial,422956.0
RN,2021,5,residencial,195084.0
PB,2021,5,residencial,191847.769
PE,2021,5,residencial,436117.0
AL,2021,5,residencial,135235.705
SE,2021,5,residencial,111143.335
BA,2021,5,residencial,600407.929
MG,2021,5,residencial,940728.059
ES,2021,5,residencial,222483.751
RJ,2021,5,residencial,1000198.93
SP,2021,5,residencial,3430489.517
PR,2021,5,residencial,639864.328
SC,2021,5,residencial,499607.239
RS,2021,5,residencial,741832.305
MS,2021,5,residencial,176435.526
MT,2021,5,residencial,253174.623
GO,2021,5,residencial,437872.653
DF,2021,5,residencial,200209.0
RO,2021,6,residencial,120722.348
AC,2021,6,residencial,46056.546
AM,2021,6,residencial,181425.0
RR,2021,6,residencial,41891.399
PA,2021,6,residencial,364755.989
AP,2021,6,residencial,50315.672
TO,2021,6,residencial,97649.832
MA,2021,6,residencial,297522.743
PI,2021,6,residencial,166041.321
CE,2021,6,residencial,421355.0
RN,2021,6,residencial,201888.0
PB,2021,6,residencial,183039.145
PE,2021,6,residencial,441618.0
AL,2021,6,residencial,127747.622
SE,2021,6,residencial,107449.361
BA,2021,6,residencial,620812.335
MG,2021,6,residencial,999330.417
ES,2021,6,residencial,214123.577
RJ,2021,6,residencial,967819.953
SP,2021,6,residencial,3324784.725
PR,2021,6,residencial,657192.825
SC,2021,6,residencial,504087.427
RS,2021,6,residencial,712303.283
MS,2021,6,residencial,170390.678
MT,2021,6,residencial,273357.805
GO,2021,6,residencial,470879.819
DF,2021,6,residencial,204710.0
RO,2021,7,residencial,114507.286
AC,2021,7,residencial,39122.798
AM,2021,7,residencial,170312.0
RR,2021,7,residencial,43905.239
PA,2021,7,residencial,356160.163
AP,2021,7,residencial,49289.707
TO,2021,7,residencial,91348.168
MA,2021,7,residencial,309336.108
PI,2021,7,residencial,161618.26
CE,2021,7,residencial,420742.0
RN,2021,7,residencial,191965.0
PB,2021,7,residencial,181222.841
PE,2021,7,residencial,404314.0
AL,2021,7,residencial,118519.496
SE,2021,7,residencial,104814.142
BA,2021,7,residencial,586470.619
MG,2021,7,residencial,944024.111
ES,2021,7,residencial,197467.929
RJ,2021,7,residencial,876682.102
SP,2021,7,residencial,3339974.871
PR,2021,7,residencial,651103.259
SC,2021,7,residencial,539951.389
RS,2021,7,residencial,773042.51
MS,2021,7,residencial,154965.497
MT,2021,7,residencial,229561.465
GO,2021,7,residencial,429086.046
DF,2021,7,residencial,187090.0
RO,2021,8,residencial,126780.839
AC,2021,8,residencial,44361.336
AM,2021,8,residencial,186826.0
RR,2021,8,residencial,44215.738
PA,2021,8,residencial,372922.855
AP,2021,8,residencial,54379.554
TO,2021,8,residencial,92122.431
MA,2021,8,residencial,316221.206
PI,2021,8,residencial,166600.037
CE,2021,8,residencial,422710.0
RN,2021,8,residencial,188100.0
PB,2021,8,residencial,181874.033
PE,2021,8,residencial,407639.0
AL,2021,8,residencial,117073.807
SE,2021,8,residencial,100388.381
BA,2021,8,residencial,562060.275
MG,2021,8,residencial,1020309.609
ES,2021,8,residencial,187643.273
RJ,2021,8,residencial,871576.521
SP,2021,8,residencial,3340041.133
PR,2021,8,residencial,675661.02
SC,2021,8,residencial,533958.134
RS,2021,8,residencial,772396.007
MS,2021,8,residencial,156565.126
MT,2021,8,residencial,244102.578
GO,2021,8,residencial,403725.64
DF,2021,8,residencial,206265.0
RO,2021,9,residencial,141407.928
AC,2021,9,residencial,52116.143
AM,2021,9,residencial,204788.0
RR,2021,9,residencial,51656.682
PA,2021,9,residencial,378436.513
AP,2021,9,residencial,55371.585
TO,2021,9,residencial,104468.765
MA,2021,9,residencial,336709.455
PI,2021,9,residencial,179034.196
CE,2021,9,residencial,431347.0
RN,2021,9,residencial,191346.0
PB,2021,9,residencial,181950.268
PE,2021,9,residencial,417819.0
AL,2021,9,residencial,124313.487
SE,2021,9,residencial,101645.561
BA,2021,9,residencial,596529.22
MG,2021,9,residencial,1070938.251
ES,2021,9,residencial,219804.932
RJ,2021,9,residencial,1042397.053
SP,2021,9,residencial,3590529.622
PR,2021,9,residencial,677231.081
SC,2021,9,residencial,506595.377
RS,2021,9,residencial,652915.46
MS,2021,9,residencial,192974.154
MT,2021,9,residencial,309763.982
GO,2021,9,residencial,529710.871
DF,2021,9,residencial,217979.0
RO,2021,10,residencial,141411.007
AC,2021,10,residencial,52181.514
AM,2021,10,residencial,197066.0
RR,2021,10,residencial,52670.688
PA,2021,10,residencial,374921.038
AP,2021,10,residencial,54678.91
TO,2021,10,residencial,102784.309
MA,2021,10,residencial,340386.616
PI,2021,10,residencial,175788.162
CE,2021,10,residencial,434201.0
RN,2021,10,residencial,199743.0
PB,2021,10,residencial,195881.42
PE,2021,10,residencial,455028.0
AL,2021,10,residencial,132412.465
SE,2021,10,residencial,106085.599
BA,2021,10,residencial,639622.393
MG,2021,10,residencial,1068868.184
ES,2021,10,residencial,220853.964
RJ,2021,10,residencial,942922.395
SP,2021,10,residencial,3473029.88
PR,2021,10,residencial,679638.49
SC,2021,10,residencial,509523.322
RS,2021,10,residencial,688941.013
MS,2021,10,residencial,194080.76
MT,2021,10,residencial,313935.689
GO,2021,10,residencial,542745.053
DF,2021,10,residencial,209484.0
RO,2021,11,residencial,129093.549
AC,2021,11,residencial,47151.702
AM,2021,11,residencial,203928.0
RR,2021,11,residencial,54429.164
PA,2021,11,residencial,371574.998
AP,2021,11,residencial,55683.26
TO,2021,11,residencial,96273.215
MA,2021,11,residencial,334097.666
PI,2021,11,residencial,173023.648
CE,2021,11,residencial,437734.0
RN,2021,11,residencial,200619.0
PB,2021,11,residencial,197028.469
PE,2021,11,residencial,458910.0
AL,2021,11,residencial,138231.747
SE,2021,11,residencial,108206.871
BA,2021,11,residencial,620300.01
MG,2021,11,residencial,1035218.983
ES,2021,11,residencial,211946.432
RJ,2021,11,residencial,962117.325
SP,2021,11,residencial,3418351.495
PR,2021,11,residencial,686141.251
SC,2021,11,residencial,515875.149
RS,2021,11,residencial,743049.923
MS,2021,11,residencial,190053.343
MT,2021,11,residencial,277186.463
GO,2021,11,residencial,480303.519
DF,2021,11,residencial,199167.0
RO,2021,12,residencial,126716.857
AC,2021,12,residencial,45771.361
AM,2021,12,residencial,199557.0
RR,2021,12,residencial,51401.33
PA,2021,12,residencial,381010.999
AP,2021,12,residencial,48343.784
TO,2021,12,residencial,93514.918
MA,2021,12,residencial,338420.289
PI,2021,12,residencial,178417.303
CE,2021,12,residencial,469593.0
RN,2021,12,residencial,210892.0
PB,2021,12,residencial,216733.519
PE,2021,12,residencial,498072.0
AL,2021,12,residencial,143749.795
SE,2021,12,residencial,116126.036
BA,2021,12,residencial,659636.821
MG,2021,12,residencial,1002705.688
ES,2021,12,residencial,228724.199
RJ,2021,12,residencial,1088592.143
SP,2021,12,residencial,3685903.833
PR,2021,12,residencial,743634.041
SC,2021,12,residencial,552570.101
RS,2021,12,residencial,785886.382
MS,2021,12,residencial,204169.59
MT,2021,12,residencial,296379.423
GO,2021,12,residencial,503817.001
DF,2021,12,residencial,210250.0
RO,2022,1,residencial,125078.423
AC,2022,1,residencial,46443.814
AM,2022,1,residencial,191847.0
RR,2022,1,residencial,47709.036
PA,2022,1,residencial,341130.885
AP,2022,1,residencial,41310.092
TO,2022,1,residencial,85127.175
MA,2022,1,residencial,306722.521
PI,2022,1,residencial,158342.497
CE,2022,1,residencial,432961.423
RN,2022,1,residencial,218118.0
PB,2022,1,residencial,200867.982
PE,2022,1,residencial,473644.0
AL,2022,1,residencial,144181.002
SE,2022,1,residencial,116486.589
BA,2022,1,residencial,636018.056
MG,2022,1,residencial,1064104.674
ES,2022,1,residencial,241844.359
RJ,2022,1,residencial,1107534.539
SP,2022,1,residencial,3529925.033
PR,2022,1,residencial,778327.416
SC,2022,1,residencial,665615.305
RS,2022,1,residencial,903875.036
MS,2022,1,residencial,215186.357
MT,2022,1,residencial,278264.429
GO,2022,1,residencial,465827.258
DF,2022,1,residencial,197813.0
RO,2022,2,residencial,111978.393
AC,2022,2,residencial,42748.992
AM,2022,2,residencial,180395.0
RR,2022,2,residencial,50197.201
PA,2022,2,residencial,327323.763
AP,2022,2,residencial,35021.876
TO,2022,2,residencial,82085.468
MA,2022,2,residencial,282842.766
PI,2022,2,residencial,148504.145
CE,2022,2,residencial,394964.794
RN,2022,2,residencial,198177.0
PB,2022,2,residencial,188797.818
PE,2022,2,residencial,457895.0
AL,2022,2,residencial,140990.082
SE,2022,2,residencial,118042.743
BA,2022,2,residencial,645195.443
MG,2022,2,residencial,1024923.545
ES,2022,2,residencial,258968.67
RJ,2022,2,residencial,1235377.873
SP,2022,2,residencial,3486157.665
PR,2022,2,residencial,762381.554
SC,2022,2,residencial,690180.592
RS,2022,2,residencial,895713.693
MS,2022,2,residencial,203658.232
MT,2022,2,residencial,259787.38
GO,2022,2,residencial,469943.975
DF,2022,2,residencial,195838.0
RO,2022,3,residencial,126180.706
AC,2022,3,residencial,44262.196
AM,2022,3,residencial,180613.0
RR,2022,3,residencial,50226.084
PA,2022,3,residencial,354073.637
AP,2022,3,residencial,39336.834
TO,2022,3,residencial,92061.608
MA,2022,3,residencial,324936.584
PI,2022,3,residencial,155174.985
CE,2022,3,residencial,430733.619
RN,2022,3,residencial,213115.0
PB,2022,3,residencial,212140.151
PE,2022,3,residencial,501858.0
AL,2022,3,residencial,152354.199
SE,2022,3,residencial,123609.365
BA,2022,3,residencial,691420.222
MG,2022,3,residencial,1094770.2
ES,2022,3,residencial,308425.013
RJ,2022,3,residencial,1328989.233
SP,2022,3,residencial,3867453.161
PR,2022,3,residencial,790464.701
SC,2022,3,residencial,704348.894
RS,2022,3,residencial,897448.319
MS,2022,3,residencial,222978.79
MT,2022,3,residencial,286909.311
GO,2022,3,residencial,480395.305
DF,2022,3,residencial,204628.0
RO,2022,4,residencial,120202.263
AC,2022,4,residencial,44264.602
AM,2022,4,residencial,169509.0
RR,2022,4,residencial,49116.798
PA,2022,4,residencial,348117.222
AP,2022,4,residencial,37823.173
TO,2022,4,residencial,91958.527
MA,2022,4,residencial,306772.247
PI,2022,4,residencial,150643.173
CE,2022,4,residencial,406287.508
RN,2022,4,residencial,202786.0
PB,2022,4,residencial,196637.279
PE,2022,4,residencial,458331.0
AL,2022,4,residencial,140822.411
SE,2022,4,residencial,117066.031
BA,2022,4,residencial,649136.187
MG,2022,4,residencial,1082533.048
ES,2022,4,residencial,256377.376
RJ,2022,4,residencial,1222479.001
SP,2022,4,residencial,3648927.999
PR,2022,4,residencial,674294.051
SC,2022,4,residencial,564690.27
RS,2022,4,residencial,724283.753
MS,2022,4,residencial,194704.152
MT,2022,4,residencial,282905.232
GO,2022,4,residencial,485869.698
DF,2022,4,residencial,200361.0
RO,2022,5,residencial,134796.355
AC,2022,5,residencial,46069.983
AM,2022,5,residencial,167976.0
RR,2022,5,residencial,46409.926
PA,2022,5,residencial,360913.123
AP,2022,5,residencial,44179.013
TO,2022,5,residencial,99176.005
MA,2022,5,residencial,340510.275
PI,2022,5,residencial,157782.687
CE,2022,5,residencial,405922.289
RN,2022,5,residencial,202292.0
PB,2022,5,residencial,199194.028
PE,2022,5,residencial,463272.0
AL,2022,5,residencial,147799.627
SE,2022,5,residencial,113588.521
BA,2022,5,residencial,645645.875
MG,2022,5,residencial,1030612.11
ES,2022,5,residencial,240156.152
RJ,2022,5,residencial,975820.874
SP,2022,5,residencial,3410968.653
PR,2022,5,residencial,656910.686
SC,2022,5,residencial,526064.316
RS,2022,5,residencial,690807.498
MS,2022,5,residencial,170085.83
MT,2022,5,residencial,283091.202
GO,2022,5,residencial,476387.294
DF,2022,5,residencial,196789.0
RO,2022,6,residencial,122478.345
AC,2022,6,residencial,41848.455
AM,2022,6,residencial,175317.0
RR,2022,6,residencial,44670.033
PA,2022,6,residencial,372655.354
AP,2022,6,residencial,45814.363
TO,2022,6,residencial,96930.57
MA,2022,6,residencial,325350.915
PI,2022,6,residencial,161548.039
CE,2022,6,residencial,393188.068
RN,2022,6,residencial,177800.0
PB,2022,6,residencial,174796.267
PE,2022,6,residencial,420795.0
AL,2022,6,residencial,121999.595
SE,2022,6,residencial,102108.542
BA,2022,6,residencial,591897.525
MG,2022,6,residencial,1024547.263
ES,2022,6,residencial,209332.17
RJ,2022,6,residencial,896239.444
SP,2022,6,residencial,3324905.016
PR,2022,6,residencial,674188.253
SC,2022,6,residencial,545648.798
RS,2022,6,residencial,774198.205
MS,2022,6,residencial,147940.087
MT,2022,6,residencial,256444.735
GO,2022,6,residencial,455276.937
DF,2022,6,residencial,200289.0
RO,2022,7,residencial,129446.684
AC,2022,7,residencial,47198.716
AM,2022,7,residencial,177704.0
RR,2022,7,residencial,45710.288
PA,2022,7,residencial,380358.044
AP,2022,7,residencial,44859.876
TO,2022,7,residencial,97736.585
MA,2022,7,residencial,330872.127
PI,2022,7,residencial,163912.043
CE,2022,7,residencial,394507.684
RN,2022,7,residencial,181715.0
PB,2022,7,residencial,175959.541
PE,2022,7,residencial,406281.0
AL,2022,7,residencial,126603.597
SE,2022,7,residencial,100740.661
BA,2022,7,residencial,586627.603
MG,2022,7,residencial,1004502.108
ES,2022,7,residencial,195813.616
RJ,2022,7,residencial,883705.201
SP,2022,7,residencial,3410068.407
PR,2022,7,residencial,654891.493
SC,2022,7,residencial,530732.311
RS,2022,7,residencial,802479.088
MS,2022,7,residencial,151308.353
MT,2022,7,residencial,250646.751
GO,2022,7,residencial,463005.195
DF,2022,7,residencial,193802.0
RO,2022,8,residencial,134127.284
AC,2022,8,residencial,50044.424
AM,2022,8,residencial,202870.0
RR,2022,8,residencial,52791.794
PA,2022,8,residencial,406173.586
AP,2022,8,residencial,48997.667
TO,2022,8,residencial,100806.965
MA,2022,8,residencial,367272.807
PI,2022,8,residencial,162514.002
CE,2022,8,residencial,406226.386
RN,2022,8,residencial,176673.0
PB,2022,8,residencial,173985.761
PE,2022,8,residencial,401628.0
AL,2022,8,residencial,125297.162
SE,2022,8,residencial,99487.833
BA,2022,8,residencial,578923.67
MG,2022,8,residencial,1003476.369
ES,2022,8,residencial,221532.629
RJ,2022,8,residencial,919239.115
SP,2022,8,residencial,3365175.257
PR,2022,8,residencial,667639.08
SC,2022,8,residencial,530912.951
RS,2022,8,residencial,750280.008
MS,2022,8,residencial,161814.459
MT,2022,8,residencial,269626.369
GO,2022,8,residencial,460731.367
DF,2022,8,residencial,201036.0
RO,2022,9,residencial,138706.938
AC,2022,9,residencial,48555.312
AM,2022,9,residencial,203202.0
RR,2022,9,residencial,53370.91
PA,2022,9,residencial,423815.681
AP,2022,9,residencial,53530.877
TO,2022,9,residencial,111388.771
MA,2022,9,residencial,374619.123
PI,2022,9,residencial,188451.421
CE,2022,9,residencial,418614.28
RN,2022,9,residencial,188522.0
PB,2022,9,residencial,184694.977
PE,2022,9,residencial,420777.0
AL,2022,9,residencial,133015.08
SE,2022,9,residencial,104755.393
BA,2022,9,residencial,600944.238
MG,2022,9,residencial,1073754.956
ES,2022,9,residencial,216133.583
RJ,2022,9,residencial,906563.005
SP,2022,9,residencial,3464599.708
PR,2022,9,residencial,690333.757
SC,2022,9,residencial,535490.107
RS,2022,9,residencial,754998.582
MS,2022,9,residencial,165240.601
MT,2022,9,residencial,297751.51
GO,2022,9,residencial,502762.995
DF,2022,9,residencial,217174.0
RO,2022,10,residencial,141432.218
AC,2022,10,residencial,52516.359
AM,2022,10,residencial,200093.0
RR,2022,10,residencial,57947.855
PA,2022,10,residencial,416029.263
AP,2022,10,residencial,57710.965
TO,2022,10,residencial,118420.498
MA,2022,10,residencial,372212.636
PI,2022,10,residencial,190206.858
CE,2022,10,residencial,430112.242
RN,2022,10,residencial,186578.0
PB,2022,10,residencial,185265.347
PE,2022,10,residencial,431603.0
AL,2022,10,residencial,139774.849
SE,2022,10,residencial,106437.663
BA,2022,10,residencial,611009.863
MG,2022,10,residencial,1103940.59
ES,2022,10,residencial,225097.967
RJ,2022,10,residencial,918846.104
SP,2022,10,residencial,3478201.685
PR,2022,10,residencial,690726.299
SC,2022,10,residencial,533453.272
RS,2022,10,residencial,711902.165
MS,2022,10,residencial,164647.235
MT,2022,10,residencial,295195.92
GO,2022,10,residencial,541390.583
DF,2022,10,residencial,215352.0
RO,2022,11,residencial,129686.851
AC,2022,11,residencial,51731.522
AM,2022,11,residencial,199941.0
RR,2022,11,residencial,52463.745
PA,2022,11,residencial,406536.108
AP,2022,11,residencial,37201.028
TO,2022,11,residencial,104512.83
MA,2022,11,residencial,378045.05
PI,2022,11,residencial,179474.718
CE,2022,11,residencial,443074.039
RN,2022,11,residencial,200183.0
PB,2022,11,residencial,203344.044
PE,2022,11,residencial,483232.0
AL,2022,11,residencial,144959.898
SE,2022,11,residencial,110050.452
BA,2022,11,residencial,665042.465
MG,2022,11,residencial,1065384.857
ES,2022,11,residencial,250118.241
RJ,2022,11,residencial,1008092.207
SP,2022,11,residencial,3599979.614
PR,2022,11,residencial,696470.21
SC,2022,11,residencial,545631.869
RS,2022,11,residencial,762705.235
MS,2022,11,residencial,172980.641
MT,2022,11,residencial,299582.375
GO,2022,11,residencial,518161.779
DF,2022,11,residencial,212759.0
RO,2022,12,residencial,143042.358
AC,2022,12,residencial,50713.69
AM,2022,12,residencial,190266.0
RR,2022,12,residencial,53639.02
PA,2022,12,residencial,401439.618
AP,2022,12,residencial,52117.102
TO,2022,12,residencial,98474.104
MA,2022,12,residencial,379815.341
PI,2022,12,residencial,186872.565
CE,2022,12,residencial,449781.755
RN,2022,12,residencial,204031.0
PB,2022,12,residencial,210297.078
PE,2022,12,residencial,474418.0
AL,2022,12,residencial,157789.737
SE,2022,12,residencial,122583.349
BA,2022,12,residencial,653488.753
MG,2022,12,residencial,1170519.905
ES,2022,12,residencial,244096.205
RJ,2022,12,residencial,1100811.036
SP,2022,12,residencial,3773234.73
PR,2022,12,residencial,733610.033
SC,2022,12,residencial,607538.669
RS,2022,12,residencial,941661.844
MS,2022,12,residencial,195666.67
MT,2022,12,residencial,318204.444
GO,2022,12,residencial,534479.757
DF,2022,12,residencial,212520.0
RO,2023,1,residencial,124348.227
AC,2023,1,residencial,47888.091
AM,2023,1,residencial,173506.0
RR,2023,1,residencial,53435.526
PA,2023,1,residencial,374702.947
AP,2023,1,residencial,43880.293
TO,2023,1,residencial,90864.406
MA,2023,1,residencial,342592.81
PI,2023,1,residencial,163917.801
CE,2023,1,residencial,445700.446
RN,2023,1,residencial,207768.0
PB,2023,1,residencial,216625.734
PE,2023,1,residencial,479570.0
AL,2023,1,residencial,158684.39
SE,2023,1,residencial,123020.167
BA,2023,1,residencial,667611.07
MG,2023,1,residencial,1130420.132
ES,2023,1,residencial,256167.908
RJ,2023,1,residencial,1075506.625
SP,2023,1,residencial,3643338.509
PR,2023,1,residencial,777570.06
SC,2023,1,residencial,647471.648
RS,2023,1,residencial,922863.026
MS,2023,1,residencial,196376.013
MT,2023,1,residencial,274378.103
GO,2023,1,residencial,485012.998
DF,2023,1,residencial,196414.0
RO,2023,2,residencial,116252.559
AC,2023,2,residencial,46468.06
AM,2023,2,residencial,162453.0
RR,2023,2,residencial,48995.94
