uf,ano,mes,temp_media_mensal,temp_minima_mensal,temp_minima_absoluta,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia
AC,2021,1,25.31376864953016,22.331507,19.9,6.4548335,7.690411,31,Norte,3.5385,3.2274
AC,2021,2,25.479803363060068,22.800001,20.9,4.2330227,7.107143,28,Norte,3.5477,2.1165
AC,2021,3,25.4073348020428,22.653225,19.7,3.6387477,6.6354837,31,Norte,3.5437,1.8194
AC,2021,4,26.194575026411524,22.818,17.7,3.5529754,7.39,30,Norte,3.5877,1.7765
AC,2021,5,26.17525083213166,22.264286,16.6,3.2969277,8.0,31,Norte,3.5866,1.6485
AC,2021,6,25.53872111616181,21.112501,10.5,3.412791,8.273214,30,Norte,3.551,1.7064
AC,2021,7,23.869019268576427,17.28158,10.0,4.2256317,13.305263,31,Norte,3.4592,2.1128
AC,2021,8,24.888171903548702,18.12258,13.0,4.6415777,16.109676,31,Norte,3.515,2.3208
AC,2021,9,25.71874991522895,20.336666,16.5,4.9706554,13.386667,30,Norte,3.5611,2.4853
AC,2021,10,25.562231084351897,21.13871,19.0,5.151536,11.141936,31,Norte,3.5523,2.5758
AC,2021,11,25.30125003390842,21.863335,21.0,4.612115,9.22,30,Norte,3.5378,2.3061
AC,2021,12,25.42567181330855,22.496775,21.3,4.164581,8.032258,31,Norte,3.5447,2.0823
AC,2022,1,25.530268876270583,22.009678,18.9,4.701216,9.648387,31,Norte,3.5505,2.3506
AC,2022,2,24.69598207019624,21.821428,20.1,4.0025983,8.428572,28,Norte,3.5044,2.0013
AC,2022,3,24.765591529107866,21.87742,20.1,3.5901613,8.293548,31,Norte,3.5082,1.7951
AC,2022,4,24.5573609246148,21.226665,16.7,3.430635,9.156667,30,Norte,3.4968,1.7153
AC,2022,5,23.74650536814044,19.803226,15.2,3.5948558,10.290322,31,Norte,3.4525,1.7974
AC,2022,6,23.73533026685705,18.7,11.4,3.588975,11.056667,30,Norte,3.4519,1.7945
AC,2022,7,25.57858940720148,19.719355,17.3,4.0864644,13.006452,31,Norte,3.5532,2.0432
AC,2022,8,23.88884443877846,17.71613,10.4,4.238706,15.032258,31,Norte,3.4603,2.1194
AC,2022,9,26.321031661260697,20.135715,14.6,4.5360126,14.364285,30,Norte,3.5949,2.268
AC,2022,10,26.124462373795048,21.78871,16.7,4.859267,11.374194,31,Norte,3.5838,2.4296
AC,2022,11,25.334097332424587,20.361666,13.0,5.259803,12.0183325,30,Norte,3.5396,2.6299
AC,2022,12,25.4692876672232,21.846775,19.2,4.6151075,9.2661295,31,Norte,3.5471,2.3076
AC,2023,1,25.027352117723037,21.829033,19.1,4.5624113,8.56613,31,Norte,3.5226,2.2812
AC,2023,2,24.993303503308976,22.107143,18.0,4.228074,7.9446425,28,Norte,3.5208,2.114
AC,2023,3,25.16565868418704,22.348387,20.4,4.189093,8.282258,31,Norte,3.5303,2.0945
AC,2023,4,25.34593178180733,22.436666,20.8,3.9102576,8.041667,30,Norte,3.5403,1.9551
AC,2023,5,25.658788925767297,22.42258,19.8,3.4456098,7.6274195,31,Norte,3.5577,1.7228
AC,2023,6,24.15542380237233,19.99111,10.9,3.7458274,9.406667,30,Norte,3.4748,1.8729
AC,2023,7,25.53924749230826,20.13871,15.5,5.123209,12.690322,31,Norte,3.551,2.5616
AC,2023,8,27.234677304503737,21.76129,18.0,5.345087,12.719355,31,Norte,3.6467,2.6725
AC,2023,9,27.83402777777778,22.923334,21.2,5.39079,12.05,30,Norte,3.6811,2.6954
AC,2023,10,28.47768828689411,23.838709,21.8,5.439727,11.490322,31,Norte,3.7184,2.7199
AC,2023,11,27.62861090766059,23.456667,20.7,4.9968104,10.133333,30,Norte,3.6693,2.4984
AC,2023,12,26.3294687283354,23.651041,21.6,4.397442,7.265625,31,Norte,3.5953,2.1987
AC,2024,1,26.30251713858807,23.570162,21.9,4.478331,7.5209675,31,Norte,3.5938,2.2392
