uf,ano,mes,temp_media_mensal,temp_minima_mensal,temp_minima_absoluta,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia,consumo_comercial_mwh,consumo_industrial_mwh,consumo_residencial_mwh,n_domicilios,consumo_resid_por_domicilio
AC,2021,1,25.31376864953016,22.331507,19.9,6.4548335,7.690411,31,Norte,3.5385,3.2274,21670.092,3559.271,47709.865,261001.0,0.1827957172577883
AC,2021,2,25.479803363060068,22.800001,20.9,4.2330227,7.107143,28,Norte,3.5477,2.1165,18738.81,3446.728,44954.883,261001.0,0.17224027111007237
AC,2021,3,25.4073348020428,22.653225,19.7,3.6387477,6.6354837,31,Norte,3.5437,1.8194,17651.258,3103.353,45393.742,261001.0,0.17392171677503152
AC,2021,4,26.194575026411524,22.818,17.7,3.5529754,7.39,30,Norte,3.5877,1.7765,18971.06,3503.597,43717.956,261001.0,0.16750110535974957
AC,2021,5,26.17525083213166,22.264286,16.6,3.2969277,8.0,31,Norte,3.5866,1.6485,18988.616,3625.461,40155.129,261001.0,0.15385047950007855
AC,2021,6,25.53872111616181,21.112501,10.5,3.412791,8.273214,30,Norte,3.551,1.7064,22395.801,3574.941,46056.546,261001.0,0.17646118597246754
AC,2021,7,23.869019268576427,17.28158,10.0,4.2256317,13.305263,31,Norte,3.4592,2.1128,18720.851,3845.816,39122.798,261001.0,0.1498952034666534
AC,2021,8,24.888171903548702,18.12258,13.0,4.6415777,16.109676,31,Norte,3.515,2.3208,21508.381,4387.481,44361.336,261001.0,0.16996615338638552
AC,2021,9,25.71874991522895,20.336666,16.5,4.9706554,13.386667,30,Norte,3.5611,2.4853,23706.956,3899.152,52116.143,261001.0,0.19967794376266756
AC,2021,10,25.562231084351897,21.13871,19.0,5.151536,11.141936,31,Norte,3.5523,2.5758,24266.199,3832.502,52181.514,261001.0,0.19992840640457318
AC,2021,11,25.30125003390842,21.863335,21.0,4.612115,9.22,30,Norte,3.5378,2.3061,22217.185,3750.185,47151.702,261001.0,0.18065716989590078
AC,2021,12,25.42567181330855,22.496775,21.3,4.164581,8.032258,31,Norte,3.5447,2.0823,22387.533,4001.786,45771.361,261001.0,0.1753685273236501
AC,2022,1,25.530268876270583,22.009678,18.9,4.701216,9.648387,31,Norte,3.5505,2.3506,21463.881,3736.113,46443.814,261001.0,0.17794496572810065
AC,2022,2,24.69598207019624,21.821428,20.1,4.0025983,8.428572,28,Norte,3.5044,2.0013,20338.348,3282.136,42748.992,261001.0,0.16378861383672857
AC,2022,3,24.765591529107866,21.87742,20.1,3.5901613,8.293548,31,Norte,3.5082,1.7951,21458.671,3924.847,44262.196,261001.0,0.16958630809843642
AC,2022,4,24.5573609246148,21.226665,16.7,3.430635,9.156667,30,Norte,3.4968,1.7153,21893.346,3846.717,44264.602,261001.0,0.16959552645392162
AC,2022,5,23.74650536814044,19.803226,15.2,3.5948558,10.290322,31,Norte,3.4525,1.7974,22061.686,3907.648,46069.983,261001.0,0.17651266853383704
AC,2022,6,23.73533026685705,18.7,11.4,3.588975,11.056667,30,Norte,3.4519,1.7945,20725.982,4077.88,41848.455,261001.0,0.16033829372301256
AC,2022,7,25.57858940720148,19.719355,17.3,4.0864644,13.006452,31,Norte,3.5532,2.0432,22736.397,4203.181,47198.716,261001.0,0.1808372994739484
AC,2022,8,23.88884443877846,17.71613,10.4,4.238706,15.032258,31,Norte,3.4603,2.1194,22869.067,4244.52,50044.424,261001.0,0.1917403534852357
AC,2022,9,26.321031661260697,20.135715,14.6,4.5360126,14.364285,30,Norte,3.5949,2.268,22774.852,4310.149,48555.312,261001.0,0.18603496538327438
AC,2022,10,26.124462373795048,21.78871,16.7,4.859267,11.374194,31,Norte,3.5838,2.4296,23730.929,4076.79,52516.359,261001.0,0.20121133252363016
AC,2022,11,25.334097332424587,20.361666,13.0,5.259803,12.0183325,30,Norte,3.5396,2.6299,22915.585,4124.814,51731.522,261001.0,0.1982043057306294
AC,2022,12,25.4692876672232,21.846775,19.2,4.6151075,9.2661295,31,Norte,3.5471,2.3076,22561.992,4171.04,50713.69,261001.0,0.19430458120850114
AC,2023,1,25.02735211772304,21.829033,19.1,4.5624113,8.56613,31,Norte,3.5226,2.2812,21636.354,3803.387,47888.091,261001.0,0.1834785728790311
AC,2023,2,24.993303503308976,22.107143,18.0,4.228074,7.9446425,28,Norte,3.5208,2.114,20648.65,3146.803,46468.06,261001.0,0.17803786192390067
AC,2023,3,25.16565868418704,22.348387,20.4,4.189093,8.282258,31,Norte,3.5303,2.0945,22479.086,3574.502,50191.605,261001.0,0.1923042632020567
AC,2023,4,25.34593178180733,22.436666,20.8,3.9102576,8.041667,30,Norte,3.5403,1.9551,21441.008,3518.324,46800.508,261001.0,0.17931160417009898
AC,2023,5,25.658788925767297,22.42258,19.8,3.4456098,7.6274195,31,Norte,3.5577,1.7228,22452.471,4032.07,49122.622,261001.0,0.18820855858789814
AC,2023,6,24.15542380237233,19.99111,10.9,3.7458274,9.406667,30,Norte,3.4748,1.8729,21566.619,3911.13,48600.554,261001.0,0.18620830571530375
AC,2023,7,25.53924749230826,20.13871,15.5,5.123209,12.690322,31,Norte,3.551,2.5616,22284.613,4136.92,48603.743,261001.0,0.1862205240592948
AC,2023,8,27.234677304503737,21.76129,18.0,5.345087,12.719355,31,Norte,3.6467,2.6725,24294.854,4355.948,56168.241,261001.0,0.21520316397255185
AC,2023,9,27.83402777777778,22.923334,21.2,5.39079,12.05,30,Norte,3.6811,2.6954,25331.267,3985.941,61361.971,261001.0,0.2351024363891326
AC,2023,10,28.47768828689411,23.838709,21.8,5.439727,11.490322,31,Norte,3.7184,2.7199,25390.325,4180.411,60054.08,261001.0,0.23009137896023388
AC,2023,11,27.62861090766059,23.456667,20.7,4.9968104,10.133333,30,Norte,3.6693,2.4984,25277.134,4230.598,61890.115,261001.0,0.23712596886601967
AC,2023,12,26.3294687283354,23.651041,21.6,4.397442,7.265625,31,Norte,3.5953,2.1987,24610.309,4158.134,58659.29,261001.0,0.22474737644683354
AC,2024,1,26.30251713858807,23.570162,21.9,4.478331,7.5209675,31,Norte,3.5938,2.2392,23714.001,3917.519,57641.406,261001.0,0.22084745269175216
AC,2024,2,26.176785506290543,23.509483,21.6,4.501004,7.464655,29,Norte,3.5867,2.2505,22968.347,4007.704,54520.215,261001.0,0.20888891230301798
AC,2024,3,26.638737087856924,23.623388,20.4,4.6919584,8.029839,31,Norte,3.6128,2.346,23381.418,4276.064,52903.904,261001.0,0.20269617357787903
AC,2024,4,26.54848770284532,23.576523,21.6,4.202797,7.9399996,30,Norte,3.6077,2.1014,24940.211,4424.868,59645.333,261001.0,0.22852530450074904
AC,2024,5,24.4055356272697,21.15082,11.8,3.6387954,8.0155735,31,Norte,3.4884,1.8194,24116.342,4588.846,59066.312,261001.0,0.22630684173623855
AC,2024,6,25.64388892915514,21.057499,15.4,4.4004827,11.088333,30,Norte,3.5569,2.2002,22731.509,4313.637,50058.2,261001.0,0.19179313489220345
AC,2024,7,23.556659130823046,18.136608,12.3,4.5548205,12.497321,31,Norte,3.4423,2.2774,22406.17,4471.147,51620.11,261001.0,0.1977774414657415
AC,2024,8,25.039039463326155,19.810656,12.6,4.2243247,12.42459,31,Norte,3.5233,2.1122,23332.066,4624.591,55866.306,261001.0,0.2140463293244087
