cod_uf,uf,uf_nome,regiao,cluster,segmento,aptidao_solar,cop_medio_anual,oportunidade_conversao,rendimento_medio_pc,consumo_resid_por_domicilio,trend_aquecedor_solar,trend_bomba_de_calor
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,0.2533102945900941,18.0,4.0
12,AC,Acre,Norte,1,Baixa prioridade,2.1853800000000003,3.5513566666666665,34.1,1277,0.1990943773523217,8.0,5.0
13,AM,Amazonas,Norte,1,Baixa prioridade,2.0303283333333333,3.64126,19.0,1268,0.1924333413589164,7.0,5.0
14,RR,Roraima,Norte,0,Fronteira morna,2.549,3.704911627906977,50.0,1630,0.3252034030744719,6.0,8.0
15,PA,Pará,Norte,1,Baixa prioridade,2.333255,3.6264966666666663,18.1,1364,0.1722790823333615,7.0,5.0
16,AP,Amapá,Norte,0,Fronteira morna,2.2539672727272726,3.633512727272727,42.5,1482,0.2924429303406112,10.0,0.0
17,TO,Tocantins,Norte,0,Fronteira morna,2.4961816666666667,3.61731,41.5,1795,0.21531698125326,13.0,3.0
21,MA,Maranhão,Nordeste,1,Baixa prioridade,2.445418333333333,3.6568833333333335,21.7,1103,0.1825947684919349,9.0,5.0
22,PI,Piauí,Nordeste,2,Vitrine solar,2.6391750000000003,3.6877966666666655,23.2,1427,0.1764755302681756,8.0,4.0
23,CE,Ceará,Nordeste,1,Baixa prioridade,2.2794533333333336,3.673045,11.9,1247,0.1511657953176218,8.0,3.0
24,RN,Rio Grande do Norte,Nordeste,2,Vitrine solar,2.5881666666666665,3.725105,19.1,1542,0.1761217821217129,8.0,4.0
25,PB,Paraíba,Nordeste,2,Vitrine solar,2.701716666666667,3.580566666666667,20.6,1409,0.159014701029365,6.0,3.0
26,PE,Pernambuco,Nordeste,2,Vitrine solar,2.614565,3.5551616666666663,21.7,1448,0.1487689003303684,7.0,3.0
27,AL,Alagoas,Nordeste,2,Vitrine solar,2.5416966666666667,3.5852983333333333,16.6,1303,0.1503922186794322,8.0,4.0
28,SE,Sergipe,Nordeste,2,Vitrine solar,2.7644433333333334,3.553141666666667,19.4,1480,0.1567762037537301,7.0,2.0
29,BA,Bahia,Nordeste,2,Vitrine solar,2.539746666666667,3.529835,20.5,1340,0.1288408758701171,11.0,4.0
31,MG,Minas Gerais,Sudeste,2,Vitrine solar,2.559463333333333,3.3808066666666665,44.1,2001,0.1564050664522093,54.0,3.0
32,ES,Espírito Santo,Sudeste,3,Prêmio premium,2.3289866666666668,3.43175,41.7,2071,0.18719647902801,22.0,5.0
33,RJ,Rio de Janeiro,Sudeste,3,Prêmio premium,2.27413,3.3746,44.0,2399,0.1763065782750066,12.0,5.0
35,SP,São Paulo,Sudeste,3,Prêmio premium,2.322058333333333,3.370775,64.6,2719,0.2322123122306398,34.0,7.0
41,PR,Paraná,Sul,3,Prêmio premium,2.275015,3.2834716666666663,56.5,2391,0.1843369274841197,29.0,7.0
42,SC,Santa Catarina,Sul,3,Prêmio premium,2.131416666666667,3.1679983333333337,72.0,2535,0.2235532201157002,20.0,8.0
43,RS,Rio Grande do Sul,Sul,3,Prêmio premium,2.2700316666666667,3.19122,69.1,2589,0.2036633877354806,19.0,8.0
50,MS,Mato Grosso do Sul,Centro-Oeste,3,Prêmio premium,2.446635,3.496466666666667,50.7,2160,0.202154309431723,36.0,6.0
51,MT,Mato Grosso,Centro-Oeste,0,Fronteira morna,2.384415,3.5601333333333334,51.8,2246,0.2424999189709229,24.0,6.0
52,GO,Goiás,Centro-Oeste,3,Prêmio premium,2.573323333333333,3.4840383333333333,51.0,2127,0.2143323116641339,28.0,6.0
53,DF,Distrito Federal,Centro-Oeste,3,Prêmio premium,2.6813966666666667,3.3563683333333336,56.8,3531,0.2130814415263176,23.0,5.0
