cod_uf,uf,ano,rendimento_medio_pc
11,Rondônia,2024,1750
12,Acre,2024,1277
13,Amazonas,2024,1268
14,Roraima,2024,1630
15,Pará,2024,1364
16,Amapá,2024,1482
17,Tocantins,2024,1795
21,Maranhão,2024,1103
22,Piauí,2024,1427
23,Ceará,2024,1247
24,Rio Grande do Norte,2024,1542
25,Paraíba,2024,1409
26,Pernambuco,2024,1448
27,Alagoas,2024,1303
28,Sergipe,2024,1480
29,Bahia,2024,1340
31,Minas Gerais,2024,2001
32,Espírito Santo,2024,2071
33,Rio de Janeiro,2024,2399
35,São Paulo,2024,2719
41,Paraná,2024,2391
42,Santa Catarina,2024,2535
43,Rio Grande do Sul,2024,2589
50,Mato Grosso do Sul,2024,2160
51,Mato Grosso,2024,2246
52,Goiás,2024,2127
53,Distrito Federal,2024,3531
